CITY,CBSA,Average_AQI
CORVALLIS,"Corvallis, OR",28.2986301369863
CRESCENT CITY,"Crescent City, CA",28.782258064516128
CRESTVIEW-FORT WALTON BEACH-DESTIN,"Crestview-Fort Walton Beach-Destin, FL",36.07162534435262
CULLOWHEE,"Cullowhee, NC",35.42718446601942
DALLAS-FORT WORTH-ARLINGTON,"Dallas-Fort Worth-Arlington, TX",61.52328767123288
DALTON,"Dalton, GA",40.405204460966544
DAPHNE-FAIRHOPE-FOLEY,"Daphne-Fairhope-Foley, AL",40.23616236162361
DAVENPORT-MOLINE-ROCK ISLAND,"Davenport-Moline-Rock Island, IA-IL",52.6986301369863
DAYTON,"Dayton, OH",53.583561643835615
DECATUR,"Decatur, AL",46.34293552812071
DELTONA-DAYTONA BEACH-ORMOND BEACH,"Deltona-Daytona Beach-Ormond Beach, FL",42.40845070422535
DEMING,"Deming, NM",16.975069252077564
DENVER-AURORA-LAKEWOOD,"Denver-Aurora-Lakewood, CO",69.08219178082192
DES MOINES-WEST DES MOINES,"Des Moines-West Des Moines, IA",43.6958904109589
DETROIT-WARREN-DEARBORN,"Detroit-Warren-Dearborn, MI",60.2
DICKINSON,"Dickinson, ND",34.824657534246576
DODGE CITY,"Dodge City, KS",16.81578947368421
DOTHAN,"Dothan, AL",38.253571428571426
DOUGLAS,"Douglas, GA",36.97520661157025
DOVER,"Dover, DE",45.945205479452056
DUBOIS,"DuBois, PA",33.721448467966574
DULUTH,"Duluth, MN-WI",40.81095890410959
DURANGO,"Durango, CO",44.85479452054795
DURHAM-CHAPEL HILL,"Durham-Chapel Hill, NC",46.92054794520548
DYERSBURG,"Dyersburg, TN",35.51111111111111
EAGLE PASS,"Eagle Pass, TX",36.91150442477876
EAST STROUDSBURG,"East Stroudsburg, PA",35.3810888252149
EAU CLAIRE,"Eau Claire, WI",41.035812672176306
EFFINGHAM,"Effingham, IL",40.43265306122449
EL CENTRO,"El Centro, CA",64.78630136986301
EL DORADO,"El Dorado, AR",44.95850622406639
EL PASO,"El Paso, TX",60.75068493150685
ELIZABETHTOWN-FORT KNOX,"Elizabethtown-Fort Knox, KY",43.84573002754821
ELKHART-GOSHEN,"Elkhart-Goshen, IN",43.37534246575343
ELKO,"Elko, NV",16.926027397260274
ELLENSBURG,"Ellensburg, WA",34.6986301369863
EMPORIA,"Emporia, KS",29.88135593220339
ERIE,"Erie, PA",41.51373626373626
ESPA?OLA,"Espa?ola, NM",43.3268156424581
EUGENE,"Eugene, OR",48.775342465753425
EUREKA-ARCATA-FORTUNA,"Eureka-Arcata-Fortuna, CA",30.07162534435262
EVANSTON,"Evanston, WY",44.57808219178082
EVANSVILLE,"Evansville, IN-KY",47.893150684931506
FAIRBANKS,"Fairbanks, AK",59.25479452054795
FAIRMONT,"Fairmont, WV",39.494949494949495
FALLON,"Fallon, NV",40.685552407932015
FARGO,"Fargo, ND-MN",38.86776859504132
FARMINGTON,"Farmington, NM",55.06301369863014
FAYETTEVILLE,"Fayetteville, NC",43.29201101928375
FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR-MO",49.43835616438356
FERNLEY,"Fernley, NV",37.502808988764045
FLAGSTAFF,"Flagstaff, AZ",47.320547945205476
FLINT,"Flint, MI",42.61470588235294
FLORENCE,"Florence, SC",41.828729281767956
FLORENCE-MUSCLE SHOALS,"Florence-Muscle Shoals, AL",36.77946768060836
FOND DU LAC,"Fond du Lac, WI",36.35643564356435
FORT COLLINS,"Fort Collins, CO",55.397260273972606
FORT MADISON-KEOKUK,"Fort Madison-Keokuk, IA-IL-MO",40.825
FORT PAYNE,"Fort Payne, AL",40.800554016620495
FORT SMITH,"Fort Smith, AR-OK",40.30470914127424
FORT WAYNE,"Fort Wayne, IN",52.082191780821915
FRESNO,"Fresno, CA",71.58630136986301
GADSDEN,"Gadsden, AL",43.666666666666664
GAINESVILLE,"Gainesville, FL",43.16335227272727
GARDNERVILLE RANCHOS,"Gardnerville Ranchos, NV",20.48314606741573
GEORGETOWN,"Georgetown, SC",15.543478260869565
GETTYSBURG,"Gettysburg, PA",45.78904109589041
GILLETTE,"Gillette, WY",41.63013698630137
GLENWOOD SPRINGS,"Glenwood Springs, CO",51.484931506849314
GRAND ISLAND,"Grand Island, NE",27.09278350515464
GRAND JUNCTION,"Grand Junction, CO",48.752747252747255
GRAND RAPIDS-WYOMING,"Grand Rapids-Wyoming, MI",43.30958904109589
GRANTS PASS,"Grants Pass, OR",40.12054794520548
GREAT FALLS,"Great Falls, MT",29.97245179063361
GREELEY,"Greeley, CO",55.942465753424656
GREEN BAY,"Green Bay, WI",40.96952908587257
GREENFIELD TOWN,"Greenfield Town, MA",40.92857142857143
GREENSBORO-HIGH POINT,"Greensboro-High Point, NC",43.83013698630137
GREENVILLE,"Greenville, NC",40.25568181818182
GREENVILLE-ANDERSON-MAULDIN,"Greenville-Anderson-Mauldin, SC",45.153424657534245
GUAYAMA,"Guayama, PR",17.5
GULFPORT-BILOXI-PASCAGOULA,"Gulfport-Biloxi-Pascagoula, MS",49.221917808219175
HAGERSTOWN-MARTINSBURG,"Hagerstown-Martinsburg, MD-WV",43.82044198895028
HAILEY,"Hailey, ID",21.687898089171973
HAMMOND,"Hammond, LA",40.162393162393165
HANFORD-CORCORAN,"Hanford-Corcoran, CA",66.56438356164384
HARRISBURG-CARLISLE,"Harrisburg-Carlisle, PA",52.534246575342465
HARRISON,"Harrison, AR",36.942465753424656
HARRISONBURG,"Harrisonburg, VA",35.843835616438355
HARTFORD-WEST HARTFORD-EAST HARTFORD,"Hartford-West Hartford-East Hartford, CT",46.912328767123284
HATTIESBURG,"Hattiesburg, MS",44.76815642458101
HELENA,"Helena, MT",46.93698630136986
HERMISTON-PENDLETON,"Hermiston-Pendleton, OR",40.92328767123288
HICKORY-LENOIR-MORGANTON,"Hickory-Lenoir-Morganton, NC",45.52602739726027
HILO,"Hilo, HI",23.39178082191781
