CITY,CBSA,Average_AQI
TERRE HAUTE,"Terre Haute, IN",51.054794520547944
TEXARKANA,"Texarkana, TX-AR",45.10028653295129
THE DALLES,"The Dalles, OR",36.29142857142857
TOLEDO,"Toledo, OH",46.62678062678063
TOPEKA,"Topeka, KS",46.93150684931507
TORRINGTON,"Torrington, CT",39.54520547945206
TRAVERSE CITY,"Traverse City, MI",35.526315789473685
TRENTON,"Trenton, NJ",47.06027397260274
TRUCKEE-GRASS VALLEY,"Truckee-Grass Valley, CA",49.177285318559555
TUCSON,"Tucson, AZ",51.446575342465756
TULSA,"Tulsa, OK",51.635616438356166
TUPELO,"Tupelo, MS",38.67219917012448
TUSCALOOSA,"Tuscaloosa, AL",38.34469696969697
TWIN FALLS,"Twin Falls, ID",28.356164383561644
TYLER,"Tyler, TX",37.832417582417584
UKIAH,"Ukiah, CA",38.38227146814405
URBAN HONOLULU,"Urban Honolulu, HI",29.39178082191781
UTICA-ROME,"Utica-Rome, NY",30.726256983240223
VALDOSTA,"Valdosta, GA",45.49677419354839
VALLEJO-FAIRFIELD,"Vallejo-Fairfield, CA",47.48219178082192
VERNAL,"Vernal, UT",61.71780821917808
VICTORIA,"Victoria, TX",33.40469208211144
VINCENNES,"Vincennes, IN",36.77437325905292
VINELAND-BRIDGETON,"Vineland-Bridgeton, NJ",44.89196675900277
VINEYARD HAVEN,"Vineyard Haven, MA",39.91477272727273
VIRGINIA BEACH-NORFOLK-NEWPORT NEWS,"Virginia Beach-Norfolk-Newport News, VA-NC",41.778082191780825
VISALIA-PORTERVILLE,"Visalia-Porterville, CA",74.91506849315068
WABASH,"Wabash, IN",37.535612535612536
WACO,"Waco, TX",39.701369863013696
WALLA WALLA,"Walla Walla, WA",32.989041095890414
WALTERBORO,"Walterboro, SC",25.428571428571427
WARNER ROBINS,"Warner Robins, GA",48.01977401129943
WASHINGTON COURT HOUSE,"Washington Court House, OH",36.87042253521127
WASHINGTON-ARLINGTON-ALEXANDRIA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",55.202739726027396
WATERLOO-CEDAR FALLS,"Waterloo-Cedar Falls, IA",45.36914600550964
WATERTOWN,"Watertown, SD",33.74792243767313
WATERTOWN-FORT ATKINSON,"Watertown-Fort Atkinson, WI",38.275862068965516
WATERTOWN-FORT DRUM,"Watertown-Fort Drum, NY",35.385365853658534
WAUSAU,"Wausau, WI",35.28780487804878
WEATHERFORD,"Weatherford, OK",15.622881355932204
WEIRTON-STEUBENVILLE,"Weirton-Steubenville, WV-OH",52.41095890410959
WENATCHEE,"Wenatchee, WA",36.487671232876714
WHEELING,"Wheeling, WV-OH",37.772602739726025
WHITEWATER-ELKHORN,"Whitewater-Elkhorn, WI",38.65365853658537
WICHITA,"Wichita, KS",44.36986301369863
WILLIAMSPORT,"Williamsport, PA",37.875346260387815
WILLISTON,"Williston, ND",35.30386740331492
WILMINGTON,"Wilmington, NC",38.8277027027027
WINCHESTER,"Winchester, VA-WV",41.706849315068496
WINONA,"Winona, MN",25.37391304347826
WINSTON-SALEM,"Winston-Salem, NC",51.2
WORCESTER,"Worcester, MA-CT",45.821917808219176
YAKIMA,"Yakima, WA",50.64109589041096
YORK-HANOVER,"York-Hanover, PA",45.36164383561644
YOUNGSTOWN-WARREN-BOARDMAN,"Youngstown-Warren-Boardman, OH-PA",49.14520547945205
YUBA CITY,"Yuba City, CA",49.76164383561644
YUMA,"Yuma, AZ",49.79178082191781
