City,State,Total_Rev_Prog_Desc
ANKENY,IA,6153669.0
ANN ARBOR,MI,37769774.0
ANNA,IL,812910.0
ANNA,TX,1800198.0
ANNADALE,VA,611710.0
ANNANDALE,MN,1534110.0
ANNANDALE,NJ,1425200.0
ANNANDALE,VA,11152537.0
ANNAPOLIS,MD,26252626.0
ANNISTON,AL,2767619.0
ANNVILLE,PA,623000.0
ANOKA,MN,3671729.0
ANSONIA,CT,711300.0
ANTELOPE,CA,813110.0
ANTHEM,AZ,1431219.0
ANTHON,IA,812900.0
ANTHONY,KS,1246000.0
ANTIGO,WI,1800198.0
ANTIOCH,CA,1966430.0
ANTIOCH,IL,2222939.0
ANTIOCH,TN,2135909.0
ANTLERS,OK,900099.0
ANTONITO,CO,512000.0
APACHE JCT,AZ,624120.0
APACHE JUNCTION,AZ,900099.0
APEX,NC,3055899.0
APO,AE,900099.0
APOLLO BEACH,FL,541990.0
APOPKA,FL,3208339.0
APPLE VALLEY,CA,1986200.0
APPLE VALLEY,MN,4642629.0
APPLETON,MN,1150400.0
APPLETON,WI,23545104.0
APPLING,GA,900099.0
APPOMATTOX,VA,1242220.0
APTOS,CA,3712590.0
AQUEBOGUE,NY,611710.0
ARAPAHOE,NE,624210.0
ARCADE,NY,721214.0
ARCADIA,CA,4276428.0
ARCADIA,IN,1385099.0
ARCADIA,MI,721000.0
ARCADIA,OK,541900.0
ARCADIA,WI,900099.0
ARCATA,CA,8174336.0
ARCHBALD,PA,621910.0
ARCHBOLD,OH,1161990.0
ARCHDALE,NC,624410.0
ARCHER,FL,900099.0
ARCO,ID,1073121.0
ARCOLA,IN,900099.0
ARDEN,NC,1511209.0
ARDEN HILLS,MN,3321907.0
ARDMORE,OK,3046023.0
ARDMORE,PA,4404897.0
ARDSLEY,NY,1333120.0
ARENDTSVILLE,PA,813910.0
ARGYLE,MN,623000.0
ARGYLE,NY,524126.0
ARGYLE,TX,3125738.0
ARKADELPHIA,AR,2598099.0
ARKANSAS CITY,KS,2324709.0
ARKANSAW,WI,541610.0
ARLETA,CA,1155300.0
ARLEY,AL,611430.0
ARLINGTON,MA,9586618.0
ARLINGTON,MN,621610.0
ARLINGTON,NE,711210.0
ARLINGTON,TN,1621099.0
ARLINGTON,TX,20583829.0
ARLINGTON,VA,94037970.0
ARLINGTON,VT,1884599.0
ARLINGTON,WA,4542181.0
ARLINGTON HEIGHTS,IL,711210.0
ARLINGTON HTS,IL,7790415.0
ARMONK,NY,2055479.0
ARMSTRONG,IA,624200.0
ARNOLD,CA,900099.0
ARNOLD,MD,2136450.0
ARNOLD,MO,921600.0
ARNOLD,NE,711210.0
ARNOLDS PARK,IA,713110.0
ARODA,VA,623000.0
ARRINGTON,VA,621110.0
ARROW ROCK,MO,722511.0
ARROYO GRANDE,CA,611710.0
ARTESIA,NM,1242410.0
ARTHUR,ND,900099.0
ARTHURDALE,WV,621990.0
ARVADA,CO,9015616.0
ARVERNE,NY,1521499.0
ASBURY,IA,611110.0
ASBURY,NJ,1800198.0
ASBURY PARK,NJ,2999920.0
ASH FLAT,AR,1602110.0
ASHAWAY,RI,900099.0
ASHBURN,VA,11394502.0
ASHBY,MA,900099.0
ASHEBORO,NC,2856689.0
ASHEVILLE,NC,33476006.0
ASHFIELD,MA,611600.0
ASHFORD,CT,621910.0
ASHFORD,WA,999999.0
ASHLAND,AL,1233620.0
ASHLAND,KS,900099.0
ASHLAND,KY,4104169.0
ASHLAND,MA,515100.0
ASHLAND,MS,1521209.0
ASHLAND,NE,1614089.0
ASHLAND,OH,5905827.0
ASHLAND,OR,10258907.0
ASHLAND,VA,4358918.0
ASHLAND,WI,3045798.0
ASHLEY,OH,721210.0
ASHLEY,PA,237210.0
ASHTABULA,OH,7235058.0
ASHVILLE,NY,611710.0
ASKOV,MN,900099.0
ASPEN,CO,12747167.0
ASPERMONT,TX,480000.0
ASTON,PA,1173590.0
ASTORIA,NY,5033117.0
ASTORIA,OR,5384318.0
ATASCADERO,CA,1686801.0
ATCHISON,KS,621300.0
ATCO,NJ,621420.0
ATHELSTANE,WI,900099.0
ATHENS,AL,611600.0
ATHENS,GA,12175254.0
ATHENS,NY,900099.0
ATHENS,OH,8108269.0
ATHENS,PA,624310.0
ATHENS,TN,2603930.0
ATHENS,TX,611600.0
ATHERTON,CA,1153010.0
ATHOL,MA,611600.0
ATKINS,AR,900099.0
ATLANTA,GA,227525503.0
ATLANTIC,IA,2160025.0
ATLANTIC BCH,FL,1336990.0
ATLANTIC BEACH,FL,623000.0
ATLANTIC CITY,NJ,2250240.0
ATLANTIS,FL,1524199.0
ATOKA,OK,623000.0
ATTALLA,AL,1062220.0
ATTICA,MI,812900.0
ATTICA,NY,611710.0
ATTICA,OH,900099.0
ATTLEBORO,MA,2159480.0
ATTLEBORO FLS,MA,611600.0
ATWATER,CA,1352099.0
AU SABLE FRKS,NY,621910.0
AUBERRY,CA,900099.0
AUBURN,AL,4537229.0
AUBURN,CA,3493980.0
AUBURN,IL,624410.0
AUBURN,IN,3886208.0
AUBURN,MA,1866420.0
AUBURN,ME,10331027.0
AUBURN,NE,531110.0
AUBURN,NH,611000.0
AUBURN,NY,15660387.0
AUBURN,PA,621910.0
AUBURN,WA,6344426.0
AUBURN HILLS,MI,624310.0
AUBURN TWP,OH,900099.0
AUBURN UNIV,AL,722514.0
AUBURNDALE,FL,1461619.0
AUBURNDALE,MA,531390.0
AUDUBON,IA,623000.0
AUDUBON,NJ,900099.0
