CITY,STATE,Total_Rev_Prog_Desc,Percent_Unhealthy_Days
KNOXVILLE,TN,64587898.0,1.095890410958904
KOKOMO,IN,11285854.0,0.2770083102493075
LA GRANDE,OR,812900.0,0.0
LACONIA,NH,2879909.0,0.0
LAFAYETTE,LA,17312912.0,0.0
LAKE CHARLES,LA,9852543.0,0.0
LAKE CITY,FL,6979505.0,0.0
LANCASTER,PA,33998765.0,2.73972602739726
LARAMIE,WY,2042929.0,0.0
LAREDO,TX,6781635.0,0.273972602739726
LAS CRUCES,NM,7259670.0,6.575342465753424
LAWRENCEBURG,TN,531110.0,0.0
LAWTON,OK,7418957.0,0.0
LEBANON,PA,14511341.0,1.1111111111111112
LIMA,OH,13672532.0,0.0
LINCOLN,NE,64300130.0,0.0
LONGVIEW,TX,9322919.0,0.1385041551246537
LOS ALAMOS,NM,624100.0,0.0
LUBBOCK,TX,25238863.0,0.303030303030303
LUDINGTON,MI,4289203.0,0.0
LYNCHBURG,VA,18772694.0,0.0
MACON,GA,16691178.0,0.8287292817679558
MADERA,CA,1857310.0,3.5616438356164384
MADISON,WI,170689260.0,0.0
MALONE,NY,2054009.0,0.0
MANITOWOC,WI,9518409.0,0.0
MARIETTA,OH,7902055.0,0.0
MARSHALL,MN,4992328.0,0.0
MASON CITY,IA,5192508.0,0.0
MAYAGUEZ,PR,1521499.0,0.0
MCALESTER,OK,611710.0,0.547945205479452
MEDFORD,OR,8013566.0,1.9178082191780823
MERCED,CA,3648220.0,1.9178082191780823
MERIDIAN,MS,12741327.0,0.0
MIAMI,OK,522299.0,0.2754820936639118
MINOT,ND,12787347.0,0.0
MISSOULA,MT,35159731.0,1.095890410958904
MOBILE,AL,49047032.0,0.0
MODESTO,CA,14052796.0,6.301369863013699
MONROE,LA,10949675.0,0.0
MONTGOMERY,AL,31116989.0,0.273972602739726
MOREHEAD CITY,NC,3397909.0,0.0
MORGANTOWN,WV,14872227.0,0.0
MORRISTOWN,TN,19076799.0,0.0
MOSCOW,ID,3888229.0,0.0
MOSES LAKE,WA,2845639.0,0.0
