F9_00_ORG_ADDR_CITY,F9_00_ORG_ADDR_STATE,CITY,State,Percent_Unhealthy_Days
GAINESVILLE,FL,GAINESVILLE,FL,0.0
CHARLOTTESVILLE,VA,CHARLOTTESVILLE,VA,0.0
LARAMIE,WY,LARAMIE,WY,0.0
RACINE,WI,RACINE,WI,0.4926108374384236
PEORIA,IL,PEORIA,IL,0.5494505494505495
COOKEVILLE,TN,COOKEVILLE,TN,0.0
NAPA,CA,NAPA,CA,0.5509641873278237
BRAINERD,MN,BRAINERD,MN,0.5571030640668524
TAOS,NM,TAOS,NM,0.0
MALONE,NY,MALONE,NY,0.0
CORVALLIS,OR,CORVALLIS,OR,0.0
HATTIESBURG,MS,HATTIESBURG,MS,0.0
WICHITA,KS,WICHITA,KS,0.0
DECATUR,AL,DECATUR,AL,0.0
GREEN BAY,WI,GREEN BAY,WI,0.0
HUNTSVILLE,AL,HUNTSVILLE,AL,0.0
HELENA,MT,HELENA,MT,0.547945205479452
HOBBS,NM,HOBBS,NM,1.095890410958904
SOMERSET,KY,SOMERSET,KY,0.0
JOHNSTOWN,PA,JOHNSTOWN,PA,0.0
HOLLAND,MI,HOLLAND,MI,1.4492753623188406
SALINAS,CA,SALINAS,CA,0.273972602739726
SHEBOYGAN,WI,SHEBOYGAN,WI,0.9708737864077668
ERIE,PA,ERIE,PA,0.0
LYNCHBURG,VA,LYNCHBURG,VA,0.0
MOSES LAKE,WA,MOSES LAKE,WA,0.0
SIOUX FALLS,SD,SIOUX FALLS,SD,0.273972602739726
SALT LAKE CITY,UT,SALT LAKE CITY,UT,4.931506849315069
LAWTON,OK,LAWTON,OK,0.0
TOPEKA,KS,TOPEKA,KS,0.273972602739726
DOVER,DE,DOVER,DE,0.0
ALTOONA,PA,ALTOONA,PA,0.0
EAU CLAIRE,WI,EAU CLAIRE,WI,0.0
MOSCOW,ID,MOSCOW,ID,0.0
HOT SPRINGS,AR,HOT SPRINGS,AR,0.0
RAPID CITY,SD,RAPID CITY,SD,1.095890410958904
MARSHALL,MN,MARSHALL,MN,0.0
SCOTTSBLUFF,NE,SCOTTSBLUFF,NE,0.0
WEATHERFORD,OK,WEATHERFORD,OK,0.0
OWENSBORO,KY,OWENSBORO,KY,0.2747252747252747
DURANGO,CO,DURANGO,CO,0.0
SEVIERVILLE,TN,SEVIERVILLE,TN,0.0
YUMA,AZ,YUMA,AZ,0.821917808219178
LAREDO,TX,LAREDO,TX,0.273972602739726
BELLINGHAM,WA,BELLINGHAM,WA,0.0
JASPER,IN,JASPER,IN,0.0
NOGALES,AZ,NOGALES,AZ,0.5524861878453038
TUSCALOOSA,AL,TUSCALOOSA,AL,0.0
STATE COLLEGE,PA,STATE COLLEGE,PA,0.0
FAIRBANKS,AK,FAIRBANKS,AK,10.684931506849315
CULLOWHEE,NC,CULLOWHEE,NC,0.0
ELLENSBURG,WA,ELLENSBURG,WA,0.0
ODESSA,TX,ODESSA,TX,0.0
ELKO,NV,ELKO,NV,0.0
MANITOWOC,WI,MANITOWOC,WI,0.0
BRUNSWICK,GA,BRUNSWICK,GA,0.0
PANAMA CITY,FL,PANAMA CITY,FL,0.0
BRANSON,MO,BRANSON,MO,0.0
MORGANTOWN,WV,MORGANTOWN,WV,0.0
MUSKEGON,MI,MUSKEGON,MI,0.381679389312977
GREENVILLE,NC,GREENVILLE,NC,0.0
TERRE HAUTE,IN,TERRE HAUTE,IN,0.273972602739726
CASPER,WY,CASPER,WY,0.0
CEDAR RAPIDS,IA,CEDAR RAPIDS,IA,0.0
WABASH,IN,WABASH,IN,0.0
WARNER ROBINS,GA,WARNER ROBINS,GA,0.5649717514124294
