CITY,CBSA,Percent_Unhealthy_Days
WASHINGTON-ARLINGTON-ALEXANDRIA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3.0136986301369864
WATERLOO-CEDAR FALLS,"Waterloo-Cedar Falls, IA",0.0
WATERTOWN,"Watertown, SD",0.0
WATERTOWN-FORT ATKINSON,"Watertown-Fort Atkinson, WI",0.0
WATERTOWN-FORT DRUM,"Watertown-Fort Drum, NY",0.0
WAUSAU,"Wausau, WI",0.0
WEATHERFORD,"Weatherford, OK",0.0
WEIRTON-STEUBENVILLE,"Weirton-Steubenville, WV-OH",0.547945205479452
WENATCHEE,"Wenatchee, WA",0.273972602739726
WHEELING,"Wheeling, WV-OH",0.0
WHITEWATER-ELKHORN,"Whitewater-Elkhorn, WI",0.4878048780487805
WICHITA,"Wichita, KS",0.0
WILLIAMSPORT,"Williamsport, PA",0.0
WILLISTON,"Williston, ND",0.0
WILMINGTON,"Wilmington, NC",0.0
WINCHESTER,"Winchester, VA-WV",0.0
WINONA,"Winona, MN",0.0
WINSTON-SALEM,"Winston-Salem, NC",0.0
WORCESTER,"Worcester, MA-CT",0.273972602739726
YAKIMA,"Yakima, WA",2.73972602739726
YORK-HANOVER,"York-Hanover, PA",0.0
YOUNGSTOWN-WARREN-BOARDMAN,"Youngstown-Warren-Boardman, OH-PA",0.0
YUBA CITY,"Yuba City, CA",0.547945205479452
YUMA,"Yuma, AZ",0.821917808219178
